timeout_subtype,n,mean,std,sigma2_h0,sigma2_h1,glrt_stat,glrt_p,t_stat,t_p,ci_low,ci_high,crit,reject_h0,signif,metric,slice,streak_bucket,margin_bucket,time_bucket
full,12628,-0.03178206272430585,2.9578380385850758,8.749123151918178,8.748113052407167,1.4580058805027283,0.2272476726877285,-1.2074661851371522,0.22727527667871827,-0.08337578071999119,0.01981165527137948,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q4_early
official_inferred,5209,0.042947928228519554,2.9629741585091023,8.779374994816353,8.777530470277231,1.0945127407263986,0.2954734899885958,1.0461441566131569,0.2955430313134184,-0.037534249569016555,0.12343010602605567,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q1
official_inferred,3623,0.008299382771371632,2.9590664002797102,8.75372603893169,8.753657159177305,0.028508126807640685,0.8659197430362002,0.16882052684752244,0.865947238624827,-0.0880865792525382,0.10468534479528145,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q2
official_inferred,3647,-0.08499717264118796,2.9419949009155064,8.66018524135009,8.652960721993095,3.0436783332201394,0.08105206602083959,-1.744738905911554,0.08111458317124387,-0.18051101605506234,0.01051667077268642,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q3
official_inferred,613,0.06567641301609105,3.040316018584255,9.23275572993845,9.22844233871179,0.28645040914730957,0.5925042225730875,0.5348363729124538,0.592957267032429,-0.1754786115882025,0.30683143762038456,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q4_clutch
official_inferred,1446,-0.018738349283978693,2.953276073523443,8.71615899123495,8.715807865501063,0.05825249846377211,0.8092795653427136,-0.24127450291772262,0.809376601731628,-0.17108465014214844,0.13360795157419106,3.8414588206941205,false,ns,excess_net_post,time_bucket,,,Q4_early
challenge,1396,-0.021128470655968443,0.6625983136658843,0.439168441466858,0.4387220291945979,1.4197479221300258,0.23344489830445558,-1.1914078177156338,0.23369618604450637,-0.05591672843246876,0.013659787120531876,3.8414588206941205,false,ns,excess_ppp_for_post,overall,,,
full,74236,0.006732969411901993,0.6872780949944183,0.4723901499044804,0.4723448170273788,7.1243927342442195,0.007604216595508695,2.6692018719669384,0.007604827164354067,0.0017889474333673567,0.011676991390436629,3.8414588206941205,true,**,excess_ppp_for_post,overall,,,
official_inferred,14538,0.013404128792528119,0.6836750831844761,0.4675591390097546,0.4673794683410679,5.58764435008909,0.018087604960976944,2.3639657072214746,0.01809355933561907,0.0022898401309174136,0.024518417454138824,3.8414588206941205,true,*,excess_ppp_for_post,overall,,,
challenge,623,-0.02578897264351751,0.6525741800256496,0.4258345792822145,0.42516950817220645,0.9737659125207598,0.3237427636627844,-0.9863889046096337,0.3243258449115525,-0.07713180849332524,0.025553863206290224,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,calm,,
challenge,220,-0.03132084865545505,0.6958605021055964,0.4830018255948295,0.4820208300343316,0.4472829656206028,0.5036280626796417,-0.6676097571575901,0.505085622564819,-0.12378334192309302,0.061141644612182924,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,down3-5,,
challenge,54,-0.2090902916720116,0.6264570433897019,0.4288996138171543,0.3851808637456674,5.805534123669055,0.015975814434693314,-2.4526718799178626,0.017505149998927827,-0.3800801491473731,-0.038100434196650074,3.8414588206941205,true,*,excess_ppp_for_post,streak_bucket,down6-9,,
challenge,362,0.03175480633235948,0.6684779658155134,0.44663673090721034,0.44562836318200466,0.8182081185167758,0.3657045912545408,0.9038089901276041,0.3666994100184444,-0.03733903990330268,0.10084865256802164,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up3-5,,
challenge,103,-0.006550357246540546,0.6294427440439586,0.3923944910540186,0.3923515838739613,0.011263361975304281,0.9154800123663097,-0.10561542894378546,0.9160949069620039,-0.12956839230391434,0.11646767781083325,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,up6-9,,
full,21588,0.00441590457944115,0.6910116901534048,0.47749453750397614,0.4774750372907214,0.8816419180519088,0.3477523653937913,0.9389457284113341,0.3477691148590716,-0.004802412282730312,0.013634221441612611,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,calm,,
full,2834,-0.005160158813490187,0.6821300902636415,0.4651639018692048,0.46513727463022436,0.162230462988609,0.6871112311724714,-0.40271312430252804,0.6871896631412469,-0.030284863223390475,0.019964545596410102,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,down10+,,
full,27399,0.00888834555543843,0.685280389718167,0.4696710755711058,0.4695920728843929,4.609133493441738,0.031802098872101836,2.146940371495958,0.03180677886964767,0.0007737248431338856,0.017002966267742975,3.8414588206941205,true,*,excess_ppp_for_post,streak_bucket,down3-5,,
full,15219,0.008844758350891598,0.6872378948441701,0.47234312055149763,0.472264890801212,2.5207886403896715,0.11235438182737822,1.5877127474556225,0.11237208432018364,-0.0020745888220645645,0.01976410552384776,3.8414588206941205,false,ns,excess_ppp_for_post,streak_bucket,down6-9,,
